0.12,0.85,9.81
0.15,0.88,9.79
0.18,0.92,9.82
0.21,0.95,9.80
0.25,0.98,9.83
0.29,1.02,9.81
0.35,1.08,9.79
0.42,1.15,9.77
0.51,1.24,9.75
0.62,1.35,9.73
0.75,1.48,9.71
0.89,1.63,9.69
1.05,1.79,9.67
1.22,1.96,9.65
1.38,2.12,9.63
1.52,2.26,9.62
1.63,2.37,9.61
1.69,2.43,9.60
1.71,2.45,9.59
1.68,2.42,9.60
1.61,2.35,9.61
1.50,2.24,9.63
1.36,2.10,9.65
1.20,1.94,9.67
1.03,1.77,9.69
0.86,1.60,9.71
0.70,1.44,9.73
0.56,1.30,9.75
0.44,1.18,9.77
0.35,1.09,9.79
0.28,1.02,9.81
0.23,0.97,9.82
0.19,0.93,9.83
0.16,0.90,9.84
0.14,0.88,9.85
0.12,0.86,9.84
0.11,0.85,9.83
0.10,0.84,9.82
0.09,0.83,9.81
0.09,0.83,9.80
0.10,0.84,9.81
0.11,0.85,9.82
0.13,0.87,9.83
0.15,0.89,9.84
0.18,0.92,9.85
0.22,0.96,9.84
0.27,1.01,9.83
0.33,1.07,9.82
